match_id,P1Name,P2Name,P1Hand,P2Hand,P1Points,P2Points,result,winner,loser,tournament_name,surface,start_date,winner_return_points_total,winner_return_points_won,loser_return_points_total,loser_return_points_won
20170831-W-US_Open-R64-Sloane_Stephens-Dominika_Cibulkova.html,Sloane Stephens,Dominika Cibulkova,RH,RH,116,107,Sloane Stephens d. Dominika Cibulkova 6-2 5-7 6-3,Sloane Stephens,Dominika Cibulkova,US_Open,hard,2017-08-31,117,55,106,45
20170829-W-US_Open-R128-Maria_Sharapova-Simona_Halep.html,Maria Sharapova,Simona Halep,RH,RH,108,105,Maria Sharapova d. Simona Halep 6-4 4-6 6-3,Maria Sharapova,Simona Halep,US_Open,hard,2017-08-29,118,54,95,41
20170829-W-US_Open-R128-Caroline_Wozniacki-Mihaela_Buzarnescu.html,Caroline Wozniacki,Mihaela Buzarnescu,RH,LH,67,46,Caroline Wozniacki d. Mihaela Buzarnescu 6-1 7-5,Caroline Wozniacki,Mihaela Buzarnescu,US_Open,hard,2017-08-29,57,31,56,20
20170829-M-US_Open-R128-Rafael_Nadal-Dusan_Lajovic.html,Rafael Nadal,Dusan Lajovic,LH,RH,105,83,Rafael Nadal d. Dusan Lajovic 7-6(6) 6-2 6-2,Rafael Nadal,Dusan Lajovic,US_Open,hard,2017-08-29,90,42,98,35
20170828-W-US_Open-R128-Carina_Witthoeft-Anastasija_Sevastova.html,Carina Witthoeft,Anastasija Sevastova,RH,RH,60,73,Anastasija Sevastova d. Carina Witthoeft 7-5 6-1,Anastasija Sevastova,Carina Witthoeft,US_Open,hard,2017-08-28,70,39,63,29
20170828-M-US_Open-R16-Dominic_Thiem-Juan_Martin_Del_Potro.html,Dominic Thiem,Juan Martin Del Potro,RH,RH,141,139,Juan Martin Del Potro d. Dominic Thiem 1-6 2-6 6-1 7-6(1) 6-4,Juan Martin Del Potro,Dominic Thiem,US_Open,hard,2017-08-28,144,56,136,53
20170904-M-Alphen_Aan_Den_Rijn_CH-R32-Yannick_Maden-Karim_Mohamed_Maamoun.html,Yannick Maden,Karim Mohamed Maamoun,RH,RH,57,36,Yannick Maden d. Karim Mohamed Maamoun 6-0 6-2,Yannick Maden,Karim Mohamed Maamoun,Alphen_Aan_Den_Rijn_CH,hard,2017-09-04,46,26,47,16
20170902-M-Quito_CH-F-Nicolas_Jarry-Gerald_Melzer.html,Nicolas Jarry,Gerald Melzer,RH,LH,63,44,Nicolas Jarry d. Gerald Melzer 6-3 6-2,Nicolas Jarry,Gerald Melzer,Quito_CH,hard,2017-09-02,61,27,46,10
20170901-W-ITF_Dunakeszi-QF-Dayana_Yastremska-Anna_Bondar.html,Dayana Yastremska,Anna Bondar,RH,RH,66,50,Dayana Yastremska d. Anna Bondar 6-2 6-3,Dayana Yastremska,Anna Bondar,ITF_Dunakeszi,hard,2017-09-01,64,30,52,16
20170514-W-ITF_Dunakeszi-F-Marta_Kostyuk-Bernarda_Pera.html,Marta Kostyuk,Bernarda Pera,RH,LH,61,49,Marta Kostyuk d. Bernarda Pera 6-4 6-3,Marta Kostyuk,Bernarda Pera,ITF_Dunakeszi,hard,2017-05-14,54,21,56,16
20170809-W-Toronto-R32-Ashleigh_Barty-Elena_Vesnina.html,Ashleigh Barty,Elena Vesnina,RH,RH,99,92,Ashleigh Barty d. Elena Vesnina 6-3 5-7 6-4,Ashleigh Barty,Elena Vesnina,Toronto,hard,2017-08-09,96,38,95,34
20170813-W-Toronto-F-Caroline_Wozniacki-Elina_Svitolina.html,Caroline Wozniacki,Elina Svitolina,RH,RH,43,63,Elina Svitolina d. Caroline Wozniacki 6-4 6-0,Elina Svitolina,Caroline Wozniacki,Toronto,hard,2017-08-13,50,31,56,24
20170812-W-Toronto-SF-Elina_Svitolina-Simona_Halep.html,Elina Svitolina,Simona Halep,RH,RH,59,35,Elina Svitolina d. Simona Halep 6-1 6-1,Elina Svitolina,Simona Halep,Toronto,hard,2017-08-12,52,31,42,14
20170812-W-Toronto-QF-Caroline_Garcia-Simona_Halep.html,Caroline Garcia,Simona Halep,RH,RH,49,67,Simona Halep d. Caroline Garcia 6-4 6-2,Simona Halep,Caroline Garcia,Toronto,hard,2017-08-12,61,27,55,15
20170811-W-Toronto-R16-Simona_Halep-Barbora_Strycova.html,Simona Halep,Barbora Strycova,RH,RH,58,34,Simona Halep d. Barbora Strycova 6-1 6-0,Simona Halep,Barbora Strycova,Toronto,hard,2017-08-11,40,23,52,17
20170811-W-Toronto-R16-Caroline_Wozniacki-Agnieszka_Radwanska.html,Caroline Wozniacki,Agnieszka Radwanska,RH,RH,61,42,Caroline Wozniacki d. Agnieszka Radwanska 6-3 6-1,Caroline Wozniacki,Agnieszka Radwanska,Toronto,hard,2017-08-11,47,29,56,24
20170811-W-Toronto-R16-Ashleigh_Barty-Garbine_Muguruza.html,Ashleigh Barty,Garbine Muguruza,RH,RH,56,78,Garbine Muguruza d. Ashleigh Barty 6-0 3-6 6-2,Garbine Muguruza,Ashleigh Barty,Toronto,hard,2017-08-11,77,42,57,21
20170811-W-Toronto-QF-Elina_Svitolina-Garbine_Muguruza.html,Elina Svitolina,Garbine Muguruza,RH,RH,92,85,Elina Svitolina d. Garbine Muguruza 4-6 6-4 6-3,Elina Svitolina,Garbine Muguruza,Toronto,hard,2017-08-11,92,44,85,37
20170810-W-Toronto-R32-Svetlana_Kuznetsova-Catherine_Cartan_Bellis.html,Svetlana Kuznetsova,Catherine Cartan Bellis,RH,RH,64,77,Catherine Cartan Bellis d. Svetlana Kuznetsova 6-4 7-5,Catherine Cartan Bellis,Svetlana Kuznetsova,Toronto,hard,2017-08-10,71,30,70,23
20170810-W-Toronto-R32-Simona_Halep-Magdalena_Rybarikova.html,Simona Halep,Magdalena Rybarikova,RH,RH,81,68,Simona Halep d. Magdalena Rybarikova 6-3 6-4,Simona Halep,Magdalena Rybarikova,Toronto,hard,2017-08-10,68,33,81,33
20170810-W-Toronto-R32-Donna_Vekic-Angelique_Kerber.html,Donna Vekic,Angelique Kerber,RH,LH,70,82,Angelique Kerber d. Donna Vekic 6-4 7-6(5),Angelique Kerber,Donna Vekic,Toronto,hard,2017-08-10,87,34,65,17
20170810-W-Toronto-R16-Angelique_Kerber-Sloane_Stephens.html,Angelique Kerber,Sloane Stephens,LH,RH,39,55,Sloane Stephens d. Angelique Kerber 6-2 6-2,Sloane Stephens,Angelique Kerber,Toronto,hard,2017-08-10,42,19,52,16
20170809-W-Toronto-R32-Karolina_Pliskova-Anastasia_Pavlyuchenkova.html,Karolina Pliskova,Anastasia Pavlyuchenkova,RH,RH,58,43,Karolina Pliskova d. Anastasia Pavlyuchenkova 6-3 6-3,Karolina Pliskova,Anastasia Pavlyuchenkova,Toronto,hard,2017-08-09,49,32,52,26
20170809-W-Toronto-R32-Daria_Kasatkina-Elina_Svitolina.html,Daria Kasatkina,Elina Svitolina,RH,RH,78,88,Elina Svitolina d. Daria Kasatkina 7-6(4) 6-4,Elina Svitolina,Daria Kasatkina,Toronto,hard,2017-08-09,79,45,87,44
20170808-W-Toronto-R64-Mirjana_Lucic-Magdalena_Rybarikova.html,Mirjana Lucic,Magdalena Rybarikova,RH,RH,41,67,Magdalena Rybarikova d. Mirjana Lucic 7-5 6-0,Magdalena Rybarikova,Mirjana Lucic,Toronto,hard,2017-08-08,61,35,47,15
20170826-M-Winston_Salem-F-Roberto_Bautista_Agut-Damir_Dzumhur.html,Roberto Bautista Agut,Damir Dzumhur,RH,RH,70,61,Roberto Bautista Agut d. Damir Dzumhur 6-4 6-4,Roberto Bautista Agut,Damir Dzumhur,Winston_Salem,hard,2017-08-26,81,39,50,19
20170825-M-Winston_Salem-QF-Hyeon_Chung-Damir_Dzumhur.html,Hyeon Chung,Damir Dzumhur,RH,RH,47,61,Damir Dzumhur d. Hyeon Chung 6-4 6-2,Damir Dzumhur,Hyeon Chung,Winston_Salem,hard,2017-08-25,58,26,50,15
20170820-M-Cincinnati_Masters-F-Grigor_Dimitrov-Nick_Kyrgios.html,Grigor Dimitrov,Nick Kyrgios,RH,RH,66,51,Grigor Dimitrov d. Nick Kyrgios 6-3 7-5,Grigor Dimitrov,Nick Kyrgios,Cincinnati_Masters,hard,2017-08-20,60,21,57,12
20170819-M-Cincinnati_Masters-SF-John_Isner-Grigor_Dimitrov.html,John Isner,Grigor Dimitrov,RH,RH,84,90,Grigor Dimitrov d. John Isner 7-6(4) 7-6(10),Grigor Dimitrov,John Isner,Cincinnati_Masters,hard,2017-08-19,84,22,90,22
20170819-M-Cincinnati_Masters-SF-David_Ferrer-Nick_Kyrgios.html,David Ferrer,Nick Kyrgios,RH,RH,84,87,Nick Kyrgios d. David Ferrer 7-6(3) 7-6(4),Nick Kyrgios,David Ferrer,Cincinnati_Masters,hard,2017-08-19,86,27,85,25
20170818-M-Cincinnati_Masters-QF-John_Isner-Jared_Donaldson.html,John Isner,Jared Donaldson,RH,RH,77,66,John Isner d. Jared Donaldson 7-6(4) 7-5,John Isner,Jared Donaldson,Cincinnati_Masters,hard,2017-08-18,72,22,71,16
